Direction,Entry,Exit,Toll Price,Timestamp
Northbound,Jones Branch Drive/Route 123,495 Express End (near MD),$0.00,2023-04-12 22:37:58
Northbound,Westpark Drive,495 Express End (near MD),$3.05,2023-04-12 22:38:01
Northbound,Westpark Drive,Route 267,$3.05,2023-04-12 22:38:04
Northbound,Westpark Drive,Jones Branch Drive/Route 123,$3.05,2023-04-12 22:38:07
Northbound,Interstate 66,495 Express End (near MD),$4.10,2023-04-12 22:38:09
Northbound,Interstate 66,Route 267,$4.10,2023-04-12 22:38:11
Northbound,Interstate 66,Jones Branch Drive/Route 123,$4.10,2023-04-12 22:38:14
Northbound,Interstate 66,Westpark Drive,$3.20,2023-04-12 22:38:16
Northbound,Interstate 66,Route 7 (Leesburg Pike),$3.20,2023-04-12 22:38:18
Northbound,Gallows Road,495 Express End (near MD),$3.20,2023-04-12 22:38:21
Northbound,Gallows Road,Route 267,$3.20,2023-04-12 22:38:23
Northbound,Gallows Road,Jones Branch Drive/Route 123,$1.60,2023-04-12 22:38:25
Northbound,Gallows Road,Westpark Drive,$1.60,2023-04-12 22:38:28
Northbound,Gallows Road,Route 7 (Leesburg Pike),$1.10,2023-04-12 22:38:30
Northbound,Gallows Road,Interstate 66,$6.60,2023-04-12 22:38:32
Northbound,Gallows Road,Lee Highway (Route 29),$3.00,2023-04-12 22:38:35
Northbound,Braddock Road,495 Express End (near MD),$8.75,2023-04-12 22:38:37
Northbound,Braddock Road,Route 267,$7.85,2023-04-12 22:38:39
Northbound,Braddock Road,Jones Branch Drive/Route 123,$5.75,2023-04-12 22:38:42
Northbound,Braddock Road,Westpark Drive,$4.65,2023-04-12 22:38:44
Northbound,Braddock Road,Route 7 (Leesburg Pike),$4.25,2023-04-12 22:38:46
Northbound,Braddock Road,Interstate 66,$3.60,2023-04-12 22:38:49
Northbound,Braddock Road,Lee Highway (Route 29),$2.00,2023-04-12 22:38:51
Northbound,I-95/I-395/I-495 (Springfield Interchange),495 Express End (near MD),$9.35,2023-04-12 22:38:54
Northbound,I-95/I-395/I-495 (Springfield Interchange),Route 267,$8.45,2023-04-12 22:38:56
Northbound,I-95/I-395/I-495 (Springfield Interchange),Jones Branch Drive/Route 123,$6.35,2023-04-12 22:38:58
Northbound,I-95/I-395/I-495 (Springfield Interchange),Westpark Drive,$5.25,2023-04-12 22:39:00
Northbound,I-95/I-395/I-495 (Springfield Interchange),Route 7 (Leesburg Pike),$4.85,2023-04-12 22:39:03
Northbound,I-95/I-395/I-495 (Springfield Interchange),Interstate 66,$4.20,2023-04-12 22:39:05
Northbound,I-95/I-395/I-495 (Springfield Interchange),Lee Highway (Route 29),$2.60,2023-04-12 22:39:07
Northbound,I-95/I-395 Express Lanes ramps,495 Express End (near MD),$9.35,2023-04-12 22:39:10
Northbound,I-95/I-395 Express Lanes ramps,Route 267,$8.45,2023-04-12 22:39:12
Northbound,I-95/I-395 Express Lanes ramps,Jones Branch Drive/Route 123,$6.35,2023-04-12 22:39:15
Northbound,I-95/I-395 Express Lanes ramps,Westpark Drive,$5.25,2023-04-12 22:39:17
Northbound,I-95/I-395 Express Lanes ramps,Route 7 (Leesburg Pike),$4.85,2023-04-12 22:39:19
Northbound,I-95/I-395 Express Lanes ramps,Interstate 66,$4.20,2023-04-12 22:39:22
Northbound,I-95/I-395 Express Lanes ramps,Lee Highway (Route 29),$2.60,2023-04-12 22:39:24
Northbound,I-95/I-395 Express Lanes ramps,I-95/I-395/I-495 (Springfield Interchange),$0.00,2023-04-12 22:39:26
Northbound,Near Pentagon/Eads Street to DC,Washington D.C.,$1.05,2023-04-12 22:39:29
Northbound,Shirlington Circle,Washington D.C.,nan,2023-04-12 22:39:31
Northbound,Shirlington Circle,Pentagon/Eads Street,nan,2023-04-12 22:39:34
Northbound,Shirlington Circle,Washington Boulevard/Route 27,nan,2023-04-12 22:39:36
Northbound,Seminary Road,Washington D.C.,nan,2023-04-12 22:39:38
Northbound,Seminary Road,Washington Boulevard/Route 27,nan,2023-04-12 22:39:41
Northbound,Seminary Road,Pentagon/Eads Street,nan,2023-04-12 22:39:43
Northbound,I-395 Near Edsall Road,Washington D.C.,nan,2023-04-12 22:39:45
Northbound,I-395 Near Edsall Road,Pentagon/Eads Street,nan,2023-04-12 22:39:48
Northbound,I-395 Near Edsall Road,Washington Boulevard/Route 27,nan,2023-04-12 22:39:50
Northbound,I-395 Near Edsall Road,Seminary Road,nan,2023-04-12 22:39:52
Northbound,495 Express Lanes/I-495/I-95,Washington D.C.,nan,2023-04-12 22:39:55
Northbound,495 Express Lanes/I-495/I-95,Pentagon/Eads Street,nan,2023-04-12 22:39:57
Northbound,495 Express Lanes/I-495/I-95,Washington Boulevard/Route 27,nan,2023-04-12 22:39:59
Northbound,495 Express Lanes/I-495/I-95,Seminary Road,nan,2023-04-12 22:40:02
Northbound,495 Express Lanes/I-495/I-95,I-395 Near Edsall Road,nan,2023-04-12 22:40:04
Northbound,Old Keene Mill Road/Route 644,495 Express End (near MD),$9.35,2023-04-12 22:40:07
Northbound,Old Keene Mill Road/Route 644,Route 267,$8.45,2023-04-12 22:40:09
Northbound,Old Keene Mill Road/Route 644,Jones Branch Drive/Route 123,$6.35,2023-04-12 22:40:11
Northbound,Old Keene Mill Road/Route 644,Westpark Drive,$5.25,2023-04-12 22:40:14
Northbound,Old Keene Mill Road/Route 644,Route 7 (Leesburg Pike),$4.85,2023-04-12 22:40:16
Northbound,Old Keene Mill Road/Route 644,Interstate 66,$4.20,2023-04-12 22:40:18
Northbound,Old Keene Mill Road/Route 644,Lee Highway (Route 29),$2.60,2023-04-12 22:40:21
Northbound,Old Keene Mill Road/Route 644,I-95/I-395/I-495 (Springfield Interchange),$0.00,2023-04-12 22:40:23
Northbound,Old Keene Mill Road/Route 644,Washington D.C.,nan,2023-04-12 22:40:25
Northbound,Old Keene Mill Road/Route 644,Pentagon/Eads Street,nan,2023-04-12 22:40:28
Northbound,Old Keene Mill Road/Route 644,Washington Boulevard/Route 27,nan,2023-04-12 22:40:30
Northbound,Old Keene Mill Road/Route 644,Seminary Road,nan,2023-04-12 22:40:33
Northbound,Old Keene Mill Road/Route 644,I-395 Near Edsall Road,nan,2023-04-12 22:40:35
Northbound,Old Keene Mill Road/Route 644,495 Express Lanes/I-495/I-95,nan,2023-04-12 22:40:38
Northbound,Franconia-Springfield Parkway/Route 289,495 Express End (near MD),$9.35,2023-04-12 22:40:40
Northbound,Franconia-Springfield Parkway/Route 289,Route 267,$8.45,2023-04-12 22:40:43
Northbound,Franconia-Springfield Parkway/Route 289,Jones Branch Drive/Route 123,$6.35,2023-04-12 22:40:45
Northbound,Franconia-Springfield Parkway/Route 289,Westpark Drive,$5.25,2023-04-12 22:40:47
Northbound,Franconia-Springfield Parkway/Route 289,Route 7 (Leesburg Pike),$4.85,2023-04-12 22:40:50
Northbound,Franconia-Springfield Parkway/Route 289,Interstate 66,$4.85,2023-04-12 22:40:52
Northbound,Franconia-Springfield Parkway/Route 289,Lee Highway (Route 29),$4.85,2023-04-12 22:40:54
Northbound,Franconia-Springfield Parkway/Route 289,I-95/I-395/I-495 (Springfield Interchange),$2.60,2023-04-12 22:40:57
Northbound,Franconia-Springfield Parkway/Route 289,Washington D.C.,nan,2023-04-12 22:40:59
Northbound,Franconia-Springfield Parkway/Route 289,Pentagon/Eads Street,nan,2023-04-12 22:41:01
Northbound,Franconia-Springfield Parkway/Route 289,Washington Boulevard/Route 27,nan,2023-04-12 22:41:04
Northbound,Franconia-Springfield Parkway/Route 289,Seminary Road,nan,2023-04-12 22:41:06
Northbound,Franconia-Springfield Parkway/Route 289,I-395 Near Edsall Road,nan,2023-04-12 22:41:09
